full_duration_ms,sound_duration_ms,n_pulses,pulse_rate_hz,pulse_strength,rms,centroid_hz,bandwidth_hz,dominant_hz,flatness,class
643.14,643.14,133,50.0,0.57,0.00012,590.04,541.62,51.31,0.03,vocal
613.08,613.08,127,50.0,0.467,0.00012,560.49,540.58,50.56,0.02,vocal
644.83,644.83,133,50.0,0.522,0.00012,584.58,529.52,51.18,0.03,vocal
641.44,641.44,122,400.0,0.369,0.00013,473.02,472.11,51.45,0.03,vocal
636.1,636.1,122,400.0,0.404,0.00013,435.06,456.73,50.31,0.02,vocal
617.69,617.69,118,400.0,0.406,0.00013,433.41,460.0,50.19,0.02,vocal
645.55,645.55,128,400.0,0.373,0.00013,509.12,507.87,51.12,0.02,vocal
655.5,655.5,138,50.0,0.506,0.00012,549.24,528.72,50.34,0.02,vocal
612.11,612.11,130,50.0,0.491,0.00012,595.72,550.93,50.64,0.02,vocal
617.94,617.56,131,50.0,0.482,0.00012,589.91,557.81,50.2,0.02,vocal
646.28,646.28,139,50.0,0.463,0.00012,574.5,529.2,51.06,0.03,vocal
633.93,633.93,133,50.0,0.488,0.00012,550.6,529.66,50.48,0.02,vocal
627.62,627.62,131,50.0,0.502,0.00011,660.2,576.49,50.99,0.03,vocal
637.07,637.07,134,50.0,0.529,0.00012,596.04,551.66,50.23,0.02,vocal
664.7,664.7,137,50.0,0.526,0.00012,646.32,563.14,51.15,0.03,vocal
625.21,625.21,130,50.0,0.543,0.00012,653.05,559.84,51.18,0.03,vocal
640.22,640.22,134,50.0,0.547,0.00012,626.04,556.11,51.54,0.03,vocal
640.22,640.22,137,16.7,0.414,0.00012,558.64,539.76,51.54,0.03,vocal
644.83,643.8,80,400.0,0.678,0.00013,418.71,484.63,51.26,0.01,vocal
653.64,651.94,130,400.0,0.441,0.00013,434.84,489.71,50.62,0.01,vocal
607.27,607.27,130,50.0,0.5,0.00013,574.28,544.02,51.05,0.02,vocal
608.24,608.24,126,50.0,0.446,0.00013,562.92,548.28,50.97,0.02,vocal
624.7,624.34,131,50.0,0.381,0.00014,481.75,516.66,51.25,0.02,vocal
620.59,620.09,130,400.0,0.374,0.00013,528.48,528.3,51.61,0.03,vocal
628.59,628.57,132,400.0,0.406,0.00014,562.01,544.87,50.91,0.02,vocal
651.42,651.42,133,400.0,0.299,0.00014,545.58,541.41,50.66,0.02,vocal
639.26,639.26,132,400.0,0.327,0.00014,445.08,495.15,50.06,0.01,vocal
625.2,625.2,130,400.0,0.347,0.00013,498.2,512.8,51.18,0.02,vocal
635.38,635.38,137,50.0,0.4,0.00013,546.82,545.61,50.36,0.01,vocal
646.04,646.04,138,50.0,0.427,0.00013,568.58,546.08,51.08,0.02,vocal
645.8,644.77,132,400.0,0.383,0.00013,462.74,497.5,51.18,0.02,vocal
649.68,649.46,135,400.0,0.366,0.00013,459.47,497.04,50.81,0.02,vocal
636.83,636.83,129,400.0,0.422,0.00013,495.71,525.12,50.25,0.01,vocal
661.54,661.54,133,400.0,0.51,0.00013,473.6,527.65,51.4,0.02,vocal
675.84,675.84,145,25.0,0.462,0.00013,529.07,550.44,50.31,0.01,vocal
665.67,665.67,139,25.0,0.407,0.00012,569.14,560.67,51.08,0.02,vocal
630.53,630.53,136,50.0,0.544,0.00012,630.52,556.51,50.75,0.02,vocal
617.93,617.93,134,50.0,0.56,0.00012,602.61,557.62,50.17,0.01,vocal
