rank,start_s,end_s,duration_s,similarity
373,927.415,927.44,0.025,0.9091
374,903.66,903.685,0.025,0.909
375,698.54,698.575,0.035,0.909
376,535.845,535.875,0.03,0.9089
377,927.745,927.78,0.035,0.9089
378,202.655,202.68,0.025,0.9089
379,714.91,714.925,0.015,0.9088
380,647.32,647.385,0.065,0.9088
381,924.82,924.845,0.025,0.9088
382,213.295,213.33,0.035,0.9087
383,656.29,656.315,0.025,0.9085
384,594.23,594.285,0.055,0.9082
385,896.63,896.665,0.035,0.908
386,137.22,137.245,0.025,0.908
387,1006.18,1006.215,0.035,0.908
388,639.125,639.15,0.025,0.9076
389,125.55,125.595,0.045,0.9075
390,581.43,581.445,0.015,0.9075
391,1195.4,1195.415,0.015,0.9074
392,92.085,92.12,0.035,0.9074
393,625.775,625.8,0.025,0.9074
394,1202.22,1202.245,0.025,0.9073
395,519.67,519.695,0.025,0.9071
396,156.095,156.12,0.025,0.9071
397,865.925,865.94,0.015,0.9071
398,1193.2,1193.225,0.025,0.907
399,910.355,910.38,0.025,0.907
400,529.695,529.76,0.065,0.907
401,506.685,506.71,0.025,0.907
402,534.725,534.75,0.025,0.907
403,595.16,595.185,0.025,0.9069
404,671.54,671.605,0.065,0.9069
405,84.07,84.095,0.025,0.9068
406,85.79,85.85,0.06,0.9067
407,259.98,260.0,0.02,0.9066
408,69.225,69.26,0.035,0.9066
409,25.67,25.705,0.035,0.9065
410,479.61,479.64,0.03,0.9065
411,653.655,653.68,0.025,0.9065
412,496.01,496.035,0.025,0.9065
413,242.175,242.185,0.01,0.9064
414,87.225,87.29,0.065,0.9063
415,247.135,247.145,0.01,0.9063
416,477.2,477.22,0.02,0.9063
417,106.915,107.0,0.085,0.9061
418,90.005,90.03,0.025,0.9061
419,527.46,527.475,0.015,0.9061
420,506.205,506.27,0.065,0.906
421,719.535,719.56,0.025,0.9059
422,252.115,252.175,0.06,0.9058
423,625.355,625.39,0.035,0.9057
424,51.075,51.09,0.015,0.9056
425,244.965,245.0,0.035,0.9054
426,656.39,656.425,0.035,0.9052
427,131.565,131.575,0.01,0.905
428,920.065,920.08,0.015,0.905
429,137.14,137.165,0.025,0.9049
430,116.565,116.575,0.01,0.9048
431,529.235,529.27,0.035,0.9047
432,497.55,497.575,0.025,0.9047
433,500.715,500.74,0.025,0.9046
434,643.54,643.57,0.03,0.9045
435,69.695,69.7,0.005,0.9044
436,322.285,322.3,0.015,0.9044
437,655.065,655.075,0.01,0.9043
438,496.33,496.355,0.025,0.9043
439,631.33,631.355,0.025,0.9043
440,120.555,120.56,0.005,0.9043
441,558.405,558.42,0.015,0.9042
442,1195.14,1195.19,0.05,0.9042
443,64.23,64.315,0.085,0.9042
444,732.66,732.685,0.025,0.9042
445,577.065,577.13,0.065,0.9042
446,283.795,283.825,0.03,0.9039
447,350.52,350.53,0.01,0.9039
448,647.0,647.055,0.055,0.9038
449,24.34,24.385,0.045,0.9036
450,111.27,111.305,0.035,0.9035
451,653.495,653.58,0.085,0.9034
